DEBUG 
312:56:02,918  3424ms PetriNetsController    Get                - OnEntry
DEBUG 2016-12-18 20:32:50,010  6663ms LoggingAspect          OnEntry            - Before method: Get execution
DEBUG 2016-12-18 20:32:57,004 13656ms LoggingAspect          OnException        - Method: Get throw an excetion PostSharp.Aspects.MethodExecutionArgs
DEBUG 2016-12-18 20:34:01,948  3716ms LoggingAspect          OnEntry            - Before method: Get execution
DEBUG 2016-12-18 20:34:08,648 10416ms LoggingAspect          OnException        - Method: Get throw an excetion PostSharp.Aspects.MethodExecutionArgs
DEBUG 2016-12-18 20:36:20,933  5256ms LoggingAspect          OnEntry            - Before method: Get execution
DEBUG 2016-12-18 20:36:31,576 15899ms LoggingAspect          OnException        - Method: Get throw an excetion PostSharp.Aspects.MethodExecutionArgs
DEBUG 2016-12-18 20:36:41,139 25462ms LoggingAspect          OnExit             - After method: Get was executed in 20081 miliseconds
DEBUG 2016-12-18 20:37:29,245 20748ms LoggingAspect          OnEntry            - Before method: Get execution
DEBUG 2016-12-18 20:38:51,450   337ms LoggingAspect          OnEntry            - Before method: Get execution
DEBUG 2016-12-18 20:41:40,463   421ms LoggingAspect          OnEntry            - Before method: Get execution
DEBUG 2016-12-18 20:42:45,289 12979ms LoggingAspect          OnEntry            - Before method: Get execution
DEBUG 2016-12-18 20:48:46,395  1934ms LoggingAspect          OnEntry            - Before method: Get execution
DEBUG 2016-12-18 20:48:47,056  2595ms LoggingAspect          OnEntry            - Before method: CreateNetwork execution
DEBUG 2016-12-18 20:48:47,057  2596ms LoggingAspect          OnExit             - After method: CreateNetwork was executed in 0 miliseconds
DEBUG 2016-12-18 20:48:47,058  2597ms LoggingAspect          OnEntry            - Before method: IsHistoryValid execution
DEBUG 2016-12-18 20:48:47,075  2615ms LoggingAspect          OnExit             - After method: IsHistoryValid was executed in 17 miliseconds
DEBUG 2016-12-18 20:48:47,076  2615ms LoggingAspect          OnExit             - After method: Get was executed in 321 miliseconds
DEBUG 2016-12-18 20:49:14,798 30337ms LoggingAspect          OnEntry            - Before method: Get execution
DEBUG 2016-12-18 20:49:30,616 46155ms LoggingAspect          OnEntry            - Before method: CreateNetwork execution
DEBUG 2016-12-18 20:49:30,617 46156ms LoggingAspect          OnExit             - After method: CreateNetwork was executed in 0 miliseconds
DEBUG 2016-12-18 20:49:30,618 46157ms LoggingAspect          OnEntry            - Before method: IsHistoryValid execution
DEBUG 2016-12-18 20:49:30,618 46157ms LoggingAspect          OnExit             - After method: IsHistoryValid was executed in 0 miliseconds
DEBUG 2016-12-18 20:49:30,618 46157ms LoggingAspect          OnExit             - After method: Get was executed in 15820 miliseconds
DEBUG 2016-12-18 20:49:37,908 53447ms LoggingAspect          OnEntry            - Before method: Get execution
DEBUG 2016-12-18 20:50:17,983 93522ms LoggingAspect          OnEntry            - Before method: CreateNetwork execution
DEBUG 2016-12-18 20:50:17,984 93523ms LoggingAspect          OnExit             - After method: CreateNetwork was executed in 0 miliseconds
DEBUG 2016-12-18 20:50:17,985 93524ms LoggingAspect          OnEntry            - Before method: IsHistoryValid execution
DEBUG 2016-12-18 20:50:17,985 93524ms LoggingAspect          OnExit             - After method: IsHistoryValid was executed in 0 miliseconds
DEBUG 2016-12-18 20:50:17,985 93524ms LoggingAspect          OnExit             - After method: Get was executed in 40076 miliseconds
DEBUG 2016-12-18 20:51:31,684 167223ms LoggingAspect          OnEntry            - Before method: Get execution
DEBUG 2016-12-18 20:52:12,653 208192ms LoggingAspect          OnEntry            - Before method: CreateNetwork execution
DEBUG 2016-12-18 20:52:12,654 208193ms LoggingAspect          OnExit             - After method: CreateNetwork was executed in 0 miliseconds
DEBUG 2016-12-18 20:52:12,654 208193ms LoggingAspect          OnEntry            - Before method: IsHistoryValid execution
DEBUG 2016-12-18 20:52:12,655 208194ms LoggingAspect          OnExit             - After method: IsHistoryValid was executed in 0 miliseconds
DEBUG 2016-12-18 20:52:12,655 208194ms LoggingAspect          OnExit             - After method: Get was executed in 40969 miliseconds
DEBUG 2016-12-18 20:53:51,368 306907ms LoggingAspect          OnEntry            - Before method: Get execution
DEBUG 2016-12-18 20:54:05,422 320961ms LoggingAspect          OnEntry            - Before method: CreateNetwork execution
DEBUG 2016-12-18 20:54:05,423 320962ms LoggingAspect          OnExit             - After method: CreateNetwork was executed in 0 miliseconds
DEBUG 2016-12-18 20:54:05,423 320962ms LoggingAspect          OnEntry            - Before method: IsHistoryValid execution
